TIME_PERIOD,OBS_VALUE
2009-01,18290
2009-02,17416
2009-03,18414
2009-04,17340
2009-05,17577
2009-06,17550
2009-07,15159
2009-08,17267
2009-09,16620
2009-10,17298
2009-11,17460
2009-12,17608
2010-01,16585
2010-02,15708
2010-03,17422
2010-04,16620
2010-05,16244
2010-06,15540
2010-07,16368
2010-08,15872
2010-09,15330
2010-10,13702
2010-11,15870
2010-12,16616
2011-01,16833
2011-02,14952
2011-03,16802
2011-04,14400
2011-05,15376
2011-06,14580
2011-07,14322
2011-08,14663
2011-09,14160
2011-10,14787
2011-11,14520
2011-12,14973
2012-01,14663
2012-02,14123
2012-03,15004
2012-04,14790
2012-05,14725
2012-06,14370
2012-07,13764
2012-08,13516
2012-09,-
2012-10,13361
2012-11,13650
2012-12,13640
2013-01,13485
2013-02,11620
2013-03,13485
2013-04,12390
2013-05,12834
2013-06,12360
2013-07,11842
2013-08,14074
2013-09,13260
2013-10,14229
2013-11,13980
2013-12,14694
2014-01,15779
2014-02,14560
2014-03,16213
2014-04,15750
2014-05,15407
2014-06,15210
2014-07,16120
2014-08,16089
2014-09,15360
2014-10,15872
2014-11,16140
2014-12,16864
2015-01,16616
2015-02,14392
2015-03,16120
2015-04,16320
2015-05,16399
2015-06,15510
2015-07,16182
2015-08,-
2015-09,14940
2015-10,15376
2015-11,15450
2015-12,15996
2016-01,16151
2016-02,14558
2016-03,15314
2016-04,14730
2016-05,15407
2016-06,15390
2016-07,16182
2016-08,15717
2016-09,14940
2016-10,15407
2016-11,14610
2016-12,15562
2017-01,15128
2017-02,14728
2017-03,16523
2017-04,15660
2017-05,15128
2017-06,15270
2017-07,15066
2017-08,14911
2017-09,14070
2017-10,13919
2017-11,13290
2017-12,14911
2018-01,15004
2018-02,13944
2018-03,15252
2018-04,13890
2018-05,15252
2018-06,13950
2018-07,13051
2018-08,14353
2018-09,14190
2018-10,14911
2018-11,14460
2018-12,14849
2019-01,14694
2019-02,13076
2019-03,14539
2019-04,-
2019-05,14818
2019-06,13170
2019-07,-
2019-08,-
2019-09,12690
2019-10,13361
2019-11,13020
2019-12,13330
2020-01,13826
2020-02,12963
2020-03,13299
2020-04,13140
2020-05,13082
2020-06,12480
2020-07,12710
2020-08,12462
2020-09,12390
2020-10,12679
2020-11,11970
2020-12,13454
2021-01,13826
2021-02,12796
2021-03,14291
2021-04,13500
2021-05,11470
2021-06,12720
2021-07,13609
2021-08,11749
2021-09,11190
2021-10,14012
2021-11,13830
2021-12,14260
2022-01,14229
2022-02,12740
2022-03,14167
2022-04,14250
2022-05,14973
2022-06,13380
2022-07,14353
2022-08,14384
2022-09,13440
2022-10,14012
2022-11,14070
2022-12,14632
2023-01,14570
2023-02,13188
2023-03,14477
2023-04,14610
2023-05,14663
2023-06,14040
2023-07,14973
2023-08,15004
2023-09,14370
2023-10,14539
2023-11,14670
2023-12,15221
2024-01,14849
2024-02,13572
2024-03,-
2024-04,13860
2024-05,14415
2024-06,13800
2024-07,13702
2024-08,14880
2024-09,13260
2024-10,14787
2024-11,14670
2024-12,13733
2025-01,13516
2025-02,12712
